query,patron,total_postings,tiempo_seg
yahoo mail,t1 AND t2,67,0.000077108
american income,t1 AND t2,951,0.000303890
country music,t1 AND t2,1659,0.000474727
yo mama,t1 AND t2,21,0.000085140
prestige bmw,t1 AND t2,26,0.000101692
talking deer,t1 AND t2,59,0.000073895
thomas durant,t1 AND t2,134,0.000093591
jenny mccarthy,t1 AND t2,18,0.000083952
peking restaurant,t1 AND t2,52,0.000072078
texas alcohol,t1 AND t2,203,0.000130538
sas motto,t1 AND t2,57,0.000085838
cracker barrel,t1 AND t2,20,0.000071520
wood desks,t1 AND t2,104,0.000094777
richard meadows,t1 AND t2,129,0.000156729
interviewing skills,t1 AND t2,75,0.000114893
donald spencer,t1 AND t2,117,0.000112239
jeff underwood,t1 AND t2,25,0.000085907
heterogeneous uterus,t1 AND t2,5,0.000072149
heat rash,t1 AND t2,78,0.000128792
sample tank,t1 AND t2,77,0.000081158
cd burning,t1 AND t2,245,0.000235163
flogging whips,t1 AND t2,3,0.000133401
italy map,t1 AND t2,694,0.000281470
motorcycle clubs,t1 AND t2,204,0.000139897
bible gateway,t1 AND t2,64,0.000080529
porche suv,t1 AND t2,8,0.000082485
american airlines,t1 AND t2,860,0.000346285
pamela anderson,t1 AND t2,77,0.000093520
audio adrenaline,t1 AND t2,105,0.000084930
callaway golf,t1 AND t2,62,0.000074662
currency exchange,t1 AND t2,98,0.000088212
towson university,t1 AND t2,582,0.000190114
engagement settings,t1 AND t2,59,0.000081228
mary moran,t1 AND t2,83,0.000077666
katie holmes,t1 AND t2,18,0.000069285
urban mammoth,t1 AND t2,111,0.000081577
rani mukherjee,t1 AND t2,4,0.000072637
bronze age,t1 AND t2,729,0.000265964
skateboarding clips,t1 AND t2,22,0.000082556
honda generators,t1 AND t2,22,0.000084790
medical supplies,t1 AND t2,188,0.000122156
rebound movie,t1 AND t2,218,0.000108816
mortgage america,t1 AND t2,256,0.000141573
baby boomers,t1 AND t2,60,0.000074314
heather mazur,t1 AND t2,5,0.000060834
rattan chairs,t1 AND t2,10,0.000065793
chris jericho,t1 AND t2,128,0.000086326
baby heartbeat,t1 AND t2,60,0.000102949
presidio league,t1 AND t2,260,0.000114753
nick cartoon,t1 AND t2,82,0.000155192
cheap tickets,t1 AND t2,53,0.000085279
metallica lyrics,t1 AND t2,82,0.000148278
dancing songs,t1 AND t2,308,0.000146811
harbour island,t1 AND t2,187,0.000124601
atlantic ga,t1 AND t2,112,0.000103788
design tek,t1 AND t2,241,0.000144925
prostate test,t1 AND t2,127,0.000138360
mayo clinic,t1 AND t2,21,0.000084790
bake beans,t1 AND t2,8,0.000062021
spirit airlines,t1 AND t2,124,0.000117757
perry smith,t1 AND t2,173,0.000097362
verizon wireless,t1 AND t2,24,0.000076409
road warrior,t1 AND t2,281,0.000122296
humane society,t1 AND t2,194,0.000168253
gabrielle union,t1 AND t2,185,0.000121388
ovarian cysts,t1 AND t2,5,0.000070123
indian man,t1 AND t2,568,0.000260936
time management,t1 AND t2,1627,0.000541008
braided wigs,t1 AND t2,5,0.000094918
papi ion,t1 AND t2,41,0.000092543
bipolar test,t1 AND t2,124,0.000101064
south park,t1 AND t2,603,0.000238237
temple bailey,t1 AND t2,101,0.000106582
air jamaica,t1 AND t2,269,0.000139967
silver star,t1 AND t2,332,0.000201429
foto vip,t1 AND t2,6,0.000078294
american airlines,t1 AND t2,860,0.000315065
ankle tattoos,t1 AND t2,19,0.000081088
radio shack,t1 AND t2,285,0.000152259
text size,t1 AND t2,12086,0.002756168
green tea,t1 AND t2,206,0.000147370
grease gun,t1 AND t2,98,0.000107908
bible scriptures,t1 AND t2,59,0.000085279
office max,t1 AND t2,386,0.000139338
nashville star,t1 AND t2,191,0.000103019
50 cent,t1 AND t2,1448,0.000397550
greyhound bus,t1 AND t2,90,0.000099318
harry davids,t1 AND t2,47,0.000071380
trinidad express,t1 AND t2,80,0.000081298
brooke valentine,t1 AND t2,14,0.000119223
bobby valentino,t1 AND t2,21,0.000078155
midwest express,t1 AND t2,70,0.000074314
game farm,t1 AND t2,443,0.000185225
scratched eardrum,t1 AND t2,4,0.000103159
aim icons,t1 AND t2,58,0.000092473
personal finance,t1 AND t2,469,0.000201220
ty pennington,t1 AND t2,11,0.000163155
soap spoilers,t1 AND t2,35,0.000081577
music quizzes,t1 AND t2,778,0.000334830
newport news,t1 AND t2,372,0.000187041
alliance capital,t1 AND t2,324,0.000168672
address search,t1 AND t2,6161,0.001480754
extreme video,t1 AND t2,351,0.000210927
spartanburg herald,t1 AND t2,18,0.000082974
mosquito traps,t1 AND t2,10,0.000076758
eye hemorrhage,t1 AND t2,115,0.000106931
word whomp,t1 AND t2,203,0.000128303
pizza hut,t1 AND t2,32,0.000080529
swing set,t1 AND t2,516,0.000213232
tg missouri,t1 AND t2,97,0.000154005
air france,t1 AND t2,737,0.000266803
moneymaking jobs,t1 AND t2,46,0.000114753
vascular disease,t1 AND t2,91,0.000102390
ga lottery,t1 AND t2,76,0.000123972
muscle men,t1 AND t2,285,0.000151909
valentina vaughan,t1 AND t2,6,0.000072079
thong models,t1 AND t2,93,0.000099038
phoenix pony,t1 AND t2,41,0.000077806
dr doom,t1 AND t2,71,0.000097781
mortgage loans,t1 AND t2,22,0.000077806
lucille ball,t1 AND t2,88,0.000101483
kelly clarkson,t1 AND t2,39,0.000081438
katie holmes,t1 AND t2,18,0.000110632
fasa gov,t1 AND t2,9,0.000069075
cascadia college,t1 AND t2,317,0.000149186
colorful images,t1 AND t2,6056,0.001666818
ina gobeil,t1 AND t2,4,0.000105254
brad pitt,t1 AND t2,15,0.000067888
clavicle braces,t1 AND t2,3,0.000086327
short skirt,t1 AND t2,491,0.000200591
williams sonoma,t1 AND t2,83,0.000102530
cheap tickets,t1 AND t2,53,0.000085768
hertz service,t1 AND t2,427,0.000176635
microsoft update,t1 AND t2,49,0.000109235
general electric,t1 AND t2,6117,0.001764040
royal jelly,t1 AND t2,91,0.000147021
wwe news,t1 AND t2,358,0.000232370
purge cache,t1 AND t2,7,0.000072567
school culture,t1 AND t2,789,0.000288175
music lyric,t1 AND t2,788,0.000291457
liberty ford,t1 AND t2,103,0.000115452
oval soap,t1 AND t2,47,0.000087793
paris hilton,t1 AND t2,166,0.000148068
truck dragging,t1 AND t2,46,0.000088632
ballet boys,t1 AND t2,86,0.000095406
asian countries,t1 AND t2,620,0.000186692
church signs,t1 AND t2,313,0.000167205
fringe quilts,t1 AND t2,13,0.000070473
falafel sandwiches,t1 AND t2,3,0.000063418
virtual model,t1 AND t2,222,0.000118385
brad pitt,t1 AND t2,15,0.000089539
az jobs,t1 AND t2,78,0.000083882
thyroid disease,t1 AND t2,94,0.000083463
geo bat,t1 AND t2,493,0.000246967
netherlands news,t1 AND t2,496,0.000182292
pogo games,t1 AND t2,303,0.000126417
orphan foals,t1 AND t2,105,0.000087794
british airways,t1 AND t2,472,0.000159942
brad pitt,t1 AND t2,15,0.000070961
blond jokes,t1 AND t2,21,0.000067329
garmin avionics,t1 AND t2,6,0.000061322
midlothian texas,t1 AND t2,175,0.000106721
graduation ideas,t1 AND t2,125,0.000088771
softball junk,t1 AND t2,26,0.000124042
birth certificate,t1 AND t2,484,0.000205969
scrabble players,t1 AND t2,377,0.000172444
mortgage calculators,t1 AND t2,9,0.000079342
bernardo shoes,t1 AND t2,12,0.000154843
satelite map,t1 AND t2,437,0.000224478
pocket bikes,t1 AND t2,33,0.000069006
song lyrics,t1 AND t2,448,0.000197588
spy ware,t1 AND t2,27,0.000094638
seattle traffic,t1 AND t2,120,0.000107909
walkway lighting,t1 AND t2,35,0.000100226
born footwear,t1 AND t2,1188,0.000337973
cannes watches,t1 AND t2,19,0.000106441
sparta illinois,t1 AND t2,129,0.000168602
bike week,t1 AND t2,162,0.000126277
revolutionary poems,t1 AND t2,96,0.000103857
citizenship questions,t1 AND t2,110,0.000102600
holland america,t1 AND t2,290,0.000155891
local theaters,t1 AND t2,2306,0.000724278
tim mcgowan,t1 AND t2,110,0.000124462
outer banks,t1 AND t2,103,0.000136474
brooke burke,t1 AND t2,18,0.000074942
weight watchers,t1 AND t2,169,0.000160082
yahoo games,t1 AND t2,329,0.000157847
lost cast,t1 AND t2,517,0.000211765
teacher supplies,t1 AND t2,149,0.000107140
westchester ny,t1 AND t2,104,0.000088003
jet magazine,t1 AND t2,286,0.000147789
pix 4300,t1 AND t2,7,0.000064396
crossword puzzles,t1 AND t2,9,0.000063418
real arcade,t1 AND t2,250,0.000114613
pool designs,t1 AND t2,106,0.000097851
death calculator,t1 AND t2,579,0.000187041
wells fargo,t1 AND t2,38,0.000078644
nypd rant,t1 AND t2,3,0.000073127
dam removal,t1 AND t2,63,0.000077806
famous american,t1 AND t2,1128,0.000314855
yahoo maps,t1 AND t2,799,0.000244592
allan motors,t1 AND t2,19,0.000077805
cancun resorts,t1 AND t2,19,0.000077876
pool pumps,t1 AND t2,55,0.000084650
std pictures,t1 AND t2,91,0.000122156
jessica simpson,t1 AND t2,30,0.000076828
wal mart,t1 AND t2,16,0.000074453
northwest airlines,t1 AND t2,132,0.000108188
farm girls,t1 AND t2,153,0.000095895
nyc gov,t1 AND t2,27,0.000074523
postal jobs,t1 AND t2,201,0.000129909
asheville biltmore,t1 AND t2,7,0.000077247
cheap tickets,t1 AND t2,53,0.000083813
guitar necks,t1 AND t2,144,0.000108886
school uniforms,t1 AND t2,537,0.000185226
janet jackson,t1 AND t2,100,0.000102181
rc planes,t1 AND t2,45,0.000085488
fisher price,t1 AND t2,105,0.000124112
ionia ephesus,t1 AND t2,3,0.000078155
cel phones,t1 AND t2,18,0.000074523
kessler tables,t1 AND t2,43,0.000916907
yahoo games,t1 AND t2,329,0.000206528
digital concepts,t1 AND t2,237,0.000161688
beyonce knowles,t1 AND t2,3,0.000064466
honda generators,t1 AND t2,22,0.000065373
caracas pantyhose,t1 AND t2,5,0.000066352
diesel watches,t1 AND t2,47,0.000071170
alan howell,t1 AND t2,46,0.000073615
redhead teens,t1 AND t2,20,0.000076968
free resumes,t1 AND t2,6046,0.001780593
benign vertigo,t1 AND t2,11,0.000110073
yard art,t1 AND t2,326,0.000162596
news journal,t1 AND t2,485,0.000268129
direct tv,t1 AND t2,489,0.000210578
barry university,t1 AND t2,600,0.000198147
exchange rate,t1 AND t2,198,0.000131515
playboy magazines,t1 AND t2,72,0.000097851
car shipping,t1 AND t2,249,0.000137242
unique accents,t1 AND t2,155,0.000205550
song lyrics,t1 AND t2,448,0.000216865
storage cabinets,t1 AND t2,46,0.000093032
starwars websites,t1 AND t2,33,0.000127674
sean price,t1 AND t2,111,0.000102670
america west,t1 AND t2,667,0.000283915
verizon wireless,t1 AND t2,24,0.000087305
gallo lighting,t1 AND t2,35,0.000079971
collective soul,t1 AND t2,88,0.000161129
floor grinder,t1 AND t2,98,0.000104346
sean paul,t1 AND t2,195,0.000144087
wells fargo,t1 AND t2,38,0.000090587
apollo theater,t1 AND t2,89,0.000094428
verizon communications,t1 AND t2,66,0.000082206
contemporary furniture,t1 AND t2,148,0.000146811
mini trucks,t1 AND t2,38,0.000089120
halloween tubes,t1 AND t2,31,0.000076129
kerry penner,t1 AND t2,11,0.000079342
driving directions,t1 AND t2,98,0.000097362
frio river,t1 AND t2,237,0.000160850
texas lottery,t1 AND t2,176,0.000115591
womens advice,t1 AND t2,61,0.000098340
pittsboro nc,t1 AND t2,28,0.000077247
frontier airlines,t1 AND t2,67,0.000088142
original man,t1 AND t2,978,0.000387702
atlanta zoo,t1 AND t2,75,0.000105464
aol services,t1 AND t2,257,0.000148278
maui news,t1 AND t2,350,0.000159942
cheat codes,t1 AND t2,176,0.000115312
sun tattoo,t1 AND t2,93,0.000131376
northern constellations,t1 AND t2,216,0.000194934
mendoza roofing,t1 AND t2,5,0.000091775
heb stores,t1 AND t2,63,0.000086886
olympic airlines,t1 AND t2,149,0.000153725
car rentals,t1 AND t2,227,0.000111400
canadian consulate,t1 AND t2,237,0.000119922
daddy yankee,t1 AND t2,13,0.000066701
education law,t1 AND t2,697,0.000243824
woodworking center,t1 AND t2,2999,0.000971735
dragon bird,t1 AND t2,126,0.000121109
bargain network,t1 AND t2,191,0.000160850
stay movie,t1 AND t2,316,0.000156030
archbishop metropolitan,t1 AND t2,136,0.000126906
game cheats,t1 AND t2,369,0.000168951
american express,t1 AND t2,863,0.000320931
rose picture,t1 AND t2,217,0.000124810
black jokes,t1 AND t2,404,0.000165600
nothin fancy,t1 AND t2,15,0.000069215
imax seattle,t1 AND t2,45,0.000102600
pc richards,t1 AND t2,74,0.000093172
augustine winery,t1 AND t2,11,0.000069774
utility bills,t1 AND t2,55,0.000117477
print shop,t1 AND t2,6115,0.003565028
teen poetry,t1 AND t2,98,0.000178032
jesse mccartney,t1 AND t2,13,0.000083533
catholic churches,t1 AND t2,181,0.000104486
log prices,t1 AND t2,56,0.000082974
scary picture,t1 AND t2,139,0.000094428
freestyle lyrics,t1 AND t2,95,0.000107909
intermediate accounting,t1 AND t2,52,0.000075431
john cena,t1 AND t2,378,0.000154774
friends mom,t1 AND t2,183,0.000110283
unleashed movie,t1 AND t2,225,0.000122017
1953 studebaker,t1 AND t2,198,0.000197378
progesterone cream,t1 AND t2,26,0.000097362
joel shapiro,t1 AND t2,16,0.000076618
costume jewelry,t1 AND t2,26,0.000080739
edwin starr,t1 AND t2,29,0.000080460
driving directions,t1 AND t2,98,0.000181384
micro loans,t1 AND t2,23,0.000093171
impressive recipes,t1 AND t2,47,0.000086886
free rpgs,t1 AND t2,6046,0.001808531
tibial torsion,t1 AND t2,5,0.000122575
texas lottery,t1 AND t2,176,0.000119642
insect sting,t1 AND t2,41,0.000090517
truck comparisons,t1 AND t2,55,0.000089051
california lottery,t1 AND t2,328,0.000165669
florida land,t1 AND t2,541,0.000219448
beach umbrella,t1 AND t2,71,0.000097501
sai weapons,t1 AND t2,106,0.000193746
disney channel,t1 AND t2,147,0.000117267
detention center,t1 AND t2,3011,0.001025305
heroin pictures,t1 AND t2,96,0.000123833
harry potter,t1 AND t2,55,0.000099248
atlanta school,t1 AND t2,569,0.000250319
kids swimming,t1 AND t2,93,0.000114823
brad pitt,t1 AND t2,15,0.000076828
ischemic bowel,t1 AND t2,5,0.000133471
stress relief,t1 AND t2,82,0.000081437
emile hirsch,t1 AND t2,7,0.000093940
kirsten storms,t1 AND t2,16,0.000064395
budweiser sign,t1 AND t2,145,0.000100016
ovarian cyst,t1 AND t2,7,0.000068238
wrestling art,t1 AND t2,325,0.000140037
seattle times,t1 AND t2,468,0.000180196
american english,t1 AND t2,1507,0.000557491
zip codes,t1 AND t2,236,0.000283566
tank game,t1 AND t2,403,0.000195213
boris vallejo,t1 AND t2,12,0.000101553
car warranties,t1 AND t2,222,0.000224757
decor catalogs,t1 AND t2,7,0.000076409
united airlines,t1 AND t2,217,0.000144087
downtown cleveland,t1 AND t2,128,0.000111331
richards realm,t1 AND t2,51,0.000095756
chinese wallpaper,t1 AND t2,150,0.000144088
papa johns,t1 AND t2,30,0.000087235
pacific theatres,t1 AND t2,92,0.000098061
intercourse cm,t1 AND t2,107,0.000104276
abc distributing,t1 AND t2,70,0.000136754
villa nova,t1 AND t2,43,0.000113077
hiphop adds,t1 AND t2,27,0.000080110
nh aldermen,t1 AND t2,16,0.000087933
undercooked chicken,t1 AND t2,24,0.000077736
zoey 101,t1 AND t2,100,0.000093032
turkish companies,t1 AND t2,307,0.000158615
jetix tv,t1 AND t2,347,0.000175238
overseas jobs,t1 AND t2,80,0.000098270
pittsburgh pa,t1 AND t2,103,0.000125299
mcfarlane art,t1 AND t2,290,0.000224408
spring break,t1 AND t2,270,0.000149255
solkar wow,t1 AND t2,10,0.000149325
breathable waders,t1 AND t2,4,0.000084441
environmental law,t1 AND t2,414,0.001591177
princeton properties,t1 AND t2,118,0.000118175
texas vacation,t1 AND t2,180,0.000131515
adrenal gland,t1 AND t2,10,0.000086327
dell computers,t1 AND t2,64,0.000096734
george strait,t1 AND t2,202,0.000174190
horse jobs,t1 AND t2,98,0.000113426
verizon dsl,t1 AND t2,2,0.000091286
rap cds,t1 AND t2,34,0.000089609
hsn coupons,t1 AND t2,6,0.000118664
farmers bank,t1 AND t2,124,0.000163713
carpal tunnel,t1 AND t2,29,0.000090587
map quest,t1 AND t2,466,0.000196679
brandon henschel,t1 AND t2,11,0.000095406
1961 thunderbird,t1 AND t2,233,0.000151630
stl cardinals,t1 AND t2,17,0.000082556
stuffing envelopes,t1 AND t2,7,0.000085140
teenage father,t1 AND t2,315,0.000162735
booster seats,t1 AND t2,90,0.000119293
egg donors,t1 AND t2,31,0.000079482
dogs labs,t1 AND t2,45,0.000092543
rick jason,t1 AND t2,27,0.000077317
anorexia celebrities,t1 AND t2,18,0.000117827
epcot center,t1 AND t2,2996,0.000766673
red sox,t1 AND t2,283,0.000168951
online dictionary,t1 AND t2,320,0.000174539
pat todd,t1 AND t2,25,0.000084301
green day,t1 AND t2,658,0.000266803
vision quest,t1 AND t2,106,0.000094428
bbq grill,t1 AND t2,6,0.000062580
madison mississippi,t1 AND t2,97,0.000092543
crate barrel,t1 AND t2,21,0.000075781
atreyu lyrics,t1 AND t2,79,0.000123553
womens pleasures,t1 AND t2,12,0.000063418
data source,t1 AND t2,1250,0.000374990
sams club,t1 AND t2,293,0.000173212
marcus theater,t1 AND t2,76,0.000101552
tom robinson,t1 AND t2,125,0.000104416
discount hotels,t1 AND t2,41,0.000114404
catherine smith,t1 AND t2,154,0.000111540
lorain ohio,t1 AND t2,103,0.000094917
blonde models,t1 AND t2,99,0.000094219
hot toys,t1 AND t2,134,0.000103508
houston tx,t1 AND t2,69,0.000115521
hot tubs,t1 AND t2,100,0.000100155
powder monkey,t1 AND t2,32,0.000094359
aol calendar,t1 AND t2,66,0.000097990
bays 89,t1 AND t2,126,0.000114054
branson missouri,t1 AND t2,82,0.000108467
minutemen texas,t1 AND t2,169,0.000116779
college softball,t1 AND t2,332,0.000187530
providence neighborhood,t1 AND t2,73,0.000135497
cold fusion,t1 AND t2,93,0.000138500
actress broadway,t1 AND t2,163,0.000097711
syphilis info,t1 AND t2,566,0.000190324
motorcycle pa,t1 AND t2,79,0.000085279
florida apparel,t1 AND t2,146,0.000129909
weight training,t1 AND t2,363,0.000182362
sort team,t1 AND t2,591,0.000217493
rent plasma,t1 AND t2,58,0.000136823
hair coloring,t1 AND t2,58,0.000087724
backyard living,t1 AND t2,980,0.000342025
widening esprit,t1 AND t2,5,0.000091495
rope lighting,t1 AND t2,47,0.000088072
desperado tabs,t1 AND t2,3,0.000070681
dental hygienist,t1 AND t2,15,0.000074733
brighton beach,t1 AND t2,83,0.000097362
richardson hats,t1 AND t2,24,0.000088911
hampton university,t1 AND t2,600,0.000277489
recording contracts,t1 AND t2,156,0.000102949
yahoo games,t1 AND t2,329,0.001179030
bar taps,t1 AND t2,128,0.000204432
outdoor edge,t1 AND t2,130,0.000110213
victoria beckham,t1 AND t2,86,0.000115242
lemur species,t1 AND t2,312,0.000144576
frontier ford,t1 AND t2,67,0.000122855
shn downloading,t1 AND t2,5,0.000065863
batman pictures,t1 AND t2,122,0.000093031
jons movies,t1 AND t2,102,0.000089120
yahoo mail,t1 AND t2,67,0.000078225
treasure trail,t1 AND t2,55,0.000079901
flag day,t1 AND t2,1733,0.000577537
aries horoscope,t1 AND t2,4,0.000113426
union planters,t1 AND t2,183,0.000136265
holiday inn,t1 AND t2,73,0.000094987
free ipod,t1 AND t2,6050,0.001693079
shonen jump,t1 AND t2,40,0.000217633
epstein barr,t1 AND t2,6,0.000073126
henry flesh,t1 AND t2,140,0.000162806
kite stationary,t1 AND t2,18,0.000079133
brooke wilson,t1 AND t2,76,0.000087724
nixon watches,t1 AND t2,32,0.000076549
racing trucks,t1 AND t2,105,0.000138150
volusia county,t1 AND t2,339,0.000165878
online phd,t1 AND t2,181,0.000118734
nurse betty,t1 AND t2,23,0.000086536
american idol,t1 AND t2,823,0.000314436
celiac diet,t1 AND t2,27,0.000093800
custom shoes,t1 AND t2,45,0.000070123
map quest,t1 AND t2,466,0.000162596
clear history,t1 AND t2,2195,0.000558120
diamond jax,t1 AND t2,28,0.000131026
pop blocker,t1 AND t2,159,0.000137522
stephanie mills,t1 AND t2,38,0.000086047
sunrise windows,t1 AND t2,96,0.000104347
blake lively,t1 AND t2,26,0.000066840
dental insurance,t1 AND t2,49,0.000074383
mexico fishing,t1 AND t2,201,0.000102949
kare 11,t1 AND t2,1907,0.000501896
fat cops,t1 AND t2,38,0.000102251
cash advance,t1 AND t2,105,0.000129769
goofy phones,t1 AND t2,16,0.000076758
adam pascal,t1 AND t2,48,0.000080599
floor safe,t1 AND t2,153,0.000136684
hearing aids,t1 AND t2,77,0.000110493
coral feeding,t1 AND t2,28,0.000071590
super mario,t1 AND t2,68,0.000102111
knox hats,t1 AND t2,21,0.000096315
1985 people,t1 AND t2,2270,0.000725256
usps regulations,t1 AND t2,39,0.000125579
pink elephant,t1 AND t2,59,0.000094917
kingston plantation,t1 AND t2,49,0.000127325
office depot,t1 AND t2,357,0.000188368
albuquerque summer,t1 AND t2,341,0.000163993
green card,t1 AND t2,255,0.000153446
southwest airlines,t1 AND t2,119,0.000091565
carlow ireland,t1 AND t2,194,0.000104766
obituary fargo,t1 AND t2,34,0.000068796
international translator,t1 AND t2,405,0.000146811
arkansas corrections,t1 AND t2,46,0.000143878
matt damon,t1 AND t2,21,0.000075781
mike jones,t1 AND t2,157,0.000123554
bobby darin,t1 AND t2,18,0.000087933
ryland homes,t1 AND t2,61,0.000096245
southwest airlines,t1 AND t2,119,0.000103508
phoenix news,t1 AND t2,383,0.000219239
terry ellefson,t1 AND t2,20,0.000095756
kay jewelers,t1 AND t2,18,0.000080599
chimney rock,t1 AND t2,327,0.000161060
ruth drama,t1 AND t2,124,0.000088631
mia homepage,t1 AND t2,92,0.000997227
business loans,t1 AND t2,330,0.000141084
map quest,t1 AND t2,466,0.000188858
salem cigarettes,t1 AND t2,22,0.000123762
web blog,t1 AND t2,252,0.000151630
skateboard party,t1 AND t2,275,0.000175656
disney coupons,t1 AND t2,32,0.000086816
404 signs,t1 AND t2,87,0.000138011
darton college,t1 AND t2,317,0.000166717
weightlifter karen,t1 AND t2,15,0.000080949
sony cameras,t1 AND t2,39,0.000081018
family feud,t1 AND t2,857,0.000369682
resume template,t1 AND t2,6060,0.001928382
grieving widow,t1 AND t2,42,0.000115451
nickel iodine,t1 AND t2,14,0.000075711
aruba holloway,t1 AND t2,12,0.000068656
tire specialist,t1 AND t2,48,0.000075990
circuit city,t1 AND t2,814,0.000358158
wedding cakes,t1 AND t2,47,0.000123623
alcoholics anonymous,t1 AND t2,3848,0.001161429
gab insurance,t1 AND t2,38,0.000099667
washington nationals,t1 AND t2,268,0.000135916
garden planning,t1 AND t2,146,0.000135287
landscape gateways,t1 AND t2,60,0.000080041
richard hamilton,t1 AND t2,180,0.000103438
gwinnett library,t1 AND t2,133,0.000099877
delta airlines,t1 AND t2,90,0.000084720
houston chronicle,t1 AND t2,66,0.000078015
charlie pride,t1 AND t2,59,0.000080530
channel strip,t1 AND t2,161,0.000092263
vacuum pumps,t1 AND t2,26,0.000175727
houston furniture,t1 AND t2,66,0.000093451
ozark tents,t1 AND t2,3,0.000116849
velvet revolver,t1 AND t2,11,0.000075012
jessica simpson,t1 AND t2,30,0.000082625
tiny firewall,t1 AND t2,36,0.000105045
breast cysts,t1 AND t2,17,0.000113706
dragon games,t1 AND t2,344,0.000164202
minnesota fats,t1 AND t2,71,0.000089958
greeting cards,t1 AND t2,58,0.000089051
blackberry farm,t1 AND t2,77,0.000088701
la apartments,t1 AND t2,311,0.000169440
dakota fanning,t1 AND t2,11,0.000090098
kerri russell,t1 AND t2,36,0.000104835
joe caldwell,t1 AND t2,49,0.000086466
erotic stories,t1 AND t2,153,0.000119642
laguna beach,t1 AND t2,65,0.000085907
gary gaming,t1 AND t2,80,0.000099737
ashley furniture,t1 AND t2,32,0.000075082
china vacations,t1 AND t2,217,0.000107978
truck paper,t1 AND t2,163,0.000124880
yahoo launch,t1 AND t2,97,0.000146462
allen looney,t1 AND t2,59,0.000087305
toronto star,t1 AND t2,254,0.000142900
rosenblatt stadium,t1 AND t2,64,0.000094010
